"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,,International migrant stock at mid-year (male),,,,,,,International migrant stock at mid-year (female),,,,,,
91,Southern Asia,,5501,,"19,436,343","15,343,019","15,278,020","13,722,011","14,307,646","14,173,830","13,582,402","10,317,706","8,081,091","8,095,576","7,151,370","7,493,456","7,259,386","6,966,127","9,118,637","7,261,928","7,182,444","6,570,641","6,814,190","6,914,444","6,616,275"
92,Afghanistan,,4,B,"57,686","71,522","75,917","87,300","102,246","489,749","133,612","32,558","39,105","42,848","49,274","57,709","248,212","66,738","25,128","32,417","33,069","38,026","44,537","241,537","66,874"
93,Bangladesh,,50,B R,"881,617","934,735","987,853","1,166,700","1,345,546","1,422,805","1,500,921","476,097","503,989","531,907","621,228","710,548","752,035","791,164","405,520","430,746","455,946","545,472","634,998","670,770","709,757"
94,Bhutan,,64,B,"23,807","27,972","32,137","40,279","48,420","51,106","52,296","19,409","22,804","26,200","32,742","39,283","41,441","42,406","4,398","5,168","5,937","7,537","9,137","9,665","9,890"
95,India,,356,B R,"7,493,204","6,952,238","6,411,272","5,923,642","5,436,012","5,240,960","5,188,550","3,914,396","3,608,978","3,303,560","3,045,693","2,787,826","2,684,680","2,657,833","3,578,808","3,343,260","3,107,712","2,877,949","2,648,186","2,556,280","2,530,717"
96,Iran (Islamic Republic of),,364,B R,"4,291,601","2,937,668","2,803,805","2,568,930","2,761,561","2,726,420","2,699,155","2,456,700","1,705,972","1,662,264","1,410,319","1,571,723","1,445,236","1,430,784","1,834,901","1,231,696","1,141,541","1,158,611","1,189,838","1,281,184","1,268,371"
97,Maldives,,462,C,"8,689","18,510","27,092","45,045","54,659","64,273","67,026","4,777","9,243","14,907","27,079","41,712","56,345","58,759","3,912","9,267","12,185","17,966","12,947","7,928","8,267"
98,Nepal,,524,B R,"429,974","690,225","717,900","679,457","578,657","509,855","502,670","125,966","217,088","241,959","235,203","189,518","156,556","153,928","304,008","473,137","475,941","444,254","389,139","353,299","348,742"
99,Pakistan,,586,B R,"6,208,204","3,669,308","4,181,912","3,171,132","3,941,586","3,628,956","3,398,154","3,264,380","1,951,223","2,249,960","1,708,514","2,074,443","1,854,136","1,743,606","2,943,824","1,718,085","1,931,952","1,462,618","1,867,143","1,774,820","1,654,548"
100,Sri Lanka,,144,B R,"41,561","40,841","40,132","39,526","38,959","39,706","40,018","23,423","22,689","21,971","21,318","20,694","20,745","20,909","18,138","18,152","18,161","18,208","18,265","18,961","19,109"
101,South-Eastern Asia,,920,,"2,876,616","3,700,057","4,926,833","6,522,343","8,673,693","9,609,923","9,873,600","1,511,104","1,916,620","2,504,609","3,343,951","4,502,523","4,991,961","5,126,218","1,365,512","1,783,437","2,422,224","3,178,392","4,171,170","4,617,962","4,747,382"
102,Brunei Darussalam,,96,B,"73,200","84,748","96,296","98,441","100,587","102,733","108,612","41,856","47,832","53,807","55,265","56,723","58,181","61,511","31,344","36,916","42,489","43,176","43,864","44,552","47,101"
103,Cambodia,,116,B,"38,375","92,230","146,085","114,031","81,977","73,963","76,329","19,084","45,361","71,638","57,511","43,385","39,854","41,129","19,291","46,869","74,447","56,520","38,592","34,109","35,200"
104,Indonesia,,360,B R,"465,612","378,960","292,307","289,568","305,416","338,124","345,930","229,885","191,600","153,315","165,493","174,864","196,717","201,259","235,727","187,360","138,992","124,075","130,552","141,407","144,671"
105,Lao People's Democratic Republic,,418,C R,"22,866","23,526","21,948","20,371","32,473","44,575","45,466","11,806","12,199","11,564","10,930","17,424","23,917","24,396","11,060","11,327","10,384","9,441","15,049","20,658","21,070"
106,Malaysia,8,458,C R,"695,920","937,368","1,277,223","1,722,344","2,406,011","2,650,617","2,703,629","405,808","534,964","712,912","995,607","1,437,206","1,601,033","1,633,054","290,112","402,404","564,311","726,737","968,805","1,049,584","1,070,575"
107,Myanmar,,104,C,"133,545","113,663","98,011","83,025","76,414","73,308","74,660","72,310","61,489","52,150","44,506","41,574","40,177","40,918","61,235","52,174","45,861","38,519","34,840","33,131","33,742"
108,Philippines,,608,C R,"154,071","207,345","318,095","257,468","208,599","211,862","218,530","81,347","107,524","161,904","133,023","107,933","109,783","113,239","72,724","99,821","156,191","124,445","100,666","102,079","105,291"
109,Singapore,,702,B,"727,262","991,492","1,351,691","1,710,594","2,164,794","2,543,638","2,623,404","345,842","456,411","601,671","758,762","956,856","1,122,986","1,158,202","381,420","535,081","750,020","951,832","1,207,938","1,420,652","1,465,202"
110,Thailand,,764,B R,"528,693","809,720","1,257,821","2,163,447","3,224,131","3,486,526","3,588,873","283,486","426,290","647,728","1,086,166","1,624,755","1,751,187","1,802,323","245,207","383,430","610,093","1,077,281","1,599,376","1,735,339","1,786,550"
111,Timor-Leste,,626,B,"8,954","9,743","10,602","11,286","11,535","11,784","12,063","4,450","4,763","5,095","5,582","5,832","5,958","6,100","4,504","4,980","5,507","5,704","5,703","5,826","5,963"
112,Viet Nam,,704,C R,"28,118","51,262","56,754","51,768","61,756","72,793","76,104","15,230","28,187","32,825","31,106","35,971","42,168","44,087","12,888","23,075","23,929","20,662","25,785","30,625","32,017"
113,Western Asia,,922,,"15,205,444","16,830,424","18,416,526","21,531,153","30,616,221","39,780,127","42,891,019","8,906,515","9,941,985","11,001,124","13,309,432","19,964,240","25,465,550","27,487,838","6,298,929","6,888,439","7,415,402","8,221,721","10,651,981","14,314,577","15,403,181"
114,Armenia,,51,B R,"658,789","693,999","657,900","469,119","221,560","191,199","190,719","270,535","284,995","270,170","191,401","90,345","77,436","77,221","388,254","409,004","387,730","277,718","131,215","113,763","113,498"
115,Azerbaijan,9,31,B R,"360,600","344,070","327,540","302,220","276,901","264,241","259,241","157,856","149,509","141,161","135,336","129,512","126,600","124,205","202,744","194,561","186,379","166,884","147,389","137,641","135,036"
116,Bahrain,,48,C,"173,212","205,979","239,361","404,018","657,856","704,137","722,649","122,730","144,227","165,344","288,614","475,905","508,966","522,347","50,482","61,752","74,017","115,404","181,951","195,171","200,302"
117,Cyprus,10,196,B,"43,805","61,941","80,076","117,165","188,472","192,020","188,973","20,463","27,604","34,745","50,421","82,477","84,153","82,769","23,342","34,337","45,331","66,744","105,995","107,867","106,204"
118,Georgia,11,268,B,"304,470","152,235","76,117","72,311","73,034","76,685","78,218","133,285","66,643","33,321","31,655","31,972","33,570","34,241","171,185","85,592","42,796","40,656","41,062","43,115","43,977"
119,Iraq,,368,C R,"83,638","199,460","210,525","132,915","117,389","359,381","366,568","55,751","114,821","120,464","80,883","72,965","209,233","213,418","27,887","84,639","90,061","52,032","44,424","150,148","153,150"
120,Israel,,376,B R,"1,632,704","1,792,185","1,851,309","1,889,503","1,950,615","2,011,727","1,962,123","770,777","830,330","853,712","867,805","890,352","912,899","890,390","861,927","961,855","997,597","1,021,698","1,060,263","1,098,828","1,071,733"
121,Jordan,,400,C R,"1,146,349","1,537,097","1,927,845","2,325,414","2,722,983","3,112,026","3,233,553","586,473","784,725","982,977","1,183,645","1,384,313","1,567,177","1,628,377","559,876","752,372","944,868","1,141,769","1,338,670","1,544,849","1,605,176"
122,Kuwait,,414,C R,"1,074,391","921,954","1,127,640","1,333,327","1,871,537","2,866,136","3,123,431","654,878","591,452","761,512","918,580","1,309,814","1,888,220","2,123,292","419,513","330,502","366,128","414,747","561,723","977,916","1,000,139"
