"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,,International migrant stock at mid-year (male),,,,,,,International migrant stock at mid-year (female),,,,,,
253,Micronesia,,954,,"108,969","118,687","130,186","128,390","115,948","115,311","117,601","60,858","63,046","64,928","63,769","58,400","58,468","59,648","48,111","55,641","65,258","64,621","57,548","56,843","57,953"
254,Guam,,316,B,"69,755","71,912","74,070","74,743","75,416","76,089","78,027","39,364","38,822","38,280","38,602","38,924","39,246","40,246","30,391","33,090","35,790","36,141","36,492","36,843","37,781"
255,Kiribati,,296,B,"2,162","2,223","2,283","2,487","2,868","2,919","3,022","1,107","1,139","1,188","1,312","1,512","1,539","1,594","1,055","1,084","1,095","1,175","1,356","1,380","1,428"
256,Marshall Islands,,584,B,"1,158","1,480","1,891","2,417","3,089","3,284","3,292",721,916,"1,164","1,485","1,895","2,011","2,016",437,564,727,932,"1,194","1,273","1,276"
257,Micronesia (Fed. States of),,583,B,"3,685","3,342","3,116","2,905","2,805","2,756","2,785","2,099","2,119","1,721","1,565","1,502","1,473","1,489","1,586","1,223","1,395","1,340","1,303","1,283","1,296"
258,Nauru,,520,C,"2,815","2,605","2,394","2,253","2,112","3,678","3,710","1,506","1,395","1,283","1,208","1,133","2,297","2,317","1,309","1,210","1,111","1,045",979,"1,381","1,393"
259,Northern Mariana Islands,,580,B,"26,593","32,376","40,122","37,542","24,168","21,648","21,777","14,261","15,847","17,387","15,977","10,223","9,100","9,155","12,332","16,529","22,735","21,565","13,945","12,548","12,622"
260,Palau,,585,B,"2,801","4,749","6,310","6,043","5,490","4,937","4,988","1,800","2,808","3,905","3,620","3,211","2,802","2,831","1,001","1,941","2,405","2,423","2,279","2,135","2,157"
261,Polynesia,25,957,,"58,419","64,801","70,700","73,171","72,579","71,563","72,271","32,622","35,803","38,687","39,605","39,104","38,382","38,786","25,797","28,998","32,013","33,566","33,475","33,181","33,485"
262,American Samoa,,16,B,"21,283","23,098","24,912","24,233","23,555","23,513","23,561","11,175","12,037","12,898","12,498","12,098","11,998","12,023","10,108","11,061","12,014","11,735","11,457","11,515","11,538"
263,Cook Islands,,184,B,"2,587","2,686","2,785","3,277","3,769","4,152","4,213","1,443","1,497","1,552","1,724","1,895","2,078","2,109","1,144","1,189","1,233","1,553","1,874","2,074","2,104"
264,French Polynesia,,258,B,"25,830","28,360","30,329","32,286","31,640","30,058","30,687","15,444","16,689","17,604","18,405","18,037","17,136","17,495","10,386","11,671","12,725","13,881","13,603","12,922","13,192"
265,Niue,,570,B,461,480,498,522,545,557,553,245,257,268,282,295,302,300,216,223,230,240,250,255,253
266,Samoa,,882,B,"3,357","4,694","5,998","5,746","5,122","4,929","4,879","1,771","2,451","3,101","2,940","2,594","2,469","2,444","1,586","2,243","2,897","2,806","2,528","2,460","2,435"
267,Tokelau,,772,B,270,266,262,258,429,487,504,150,147,144,133,206,233,242,120,119,118,125,223,254,262
268,Tonga,,776,B,"2,911","3,274","3,684","4,301","4,589","4,877","4,952","1,488","1,718","1,981","2,328","2,493","2,650","2,691","1,423","1,556","1,703","1,973","2,096","2,227","2,261"
269,Tuvalu,,798,C,318,263,217,183,154,141,143,180,148,121,101,85,78,79,138,115,96,82,69,63,64
270,Wallis and Futuna Islands,,876,B,"1,402","1,680","2,015","2,365","2,776","2,849","2,779",726,859,"1,018","1,194","1,401","1,438","1,403",676,821,997,"1,171","1,375","1,411","1,376"
